"ID","site","Uplot","surv0","surv1","surv2","surv3","surv4","surv_end15","start","size1","size2","size3","size4","size1_ln","size2_ln","size3_ln","size4_ln","pFlower2014","fec2014","pFlower2015","fec2015"
"tran_600","COAST","COASTP07",1,1,1,0,NA,0,NA,3,7,NA,NA,1.38629436111989,2.07944154167984,NA,NA,0,NA,NA,NA
"tran_607","COAST","COASTP07",1,1,1,1,1,1,NA,8,13,17,67,2.19722457733622,2.63905732961526,2.89037175789616,4.21950770517611,0,NA,1,4
"tran_604","COAST","COASTP07",1,1,1,1,1,1,NA,35,51,6,38,3.58351893845611,3.95124371858143,1.94591014905531,3.66356164612965,0,NA,0,NA
"tran_603","COAST","COASTP07",1,1,1,0,NA,0,NA,2,3,NA,NA,1.09861228866811,1.38629436111989,NA,NA,0,NA,NA,NA
"tran_599","COAST","COASTP07",1,1,1,1,1,1,NA,11,15,8,66,2.484906649788,2.77258872223978,2.19722457733622,4.20469261939097,0,NA,0,NA
"tran_606","COAST","COASTP07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_605","COAST","COASTP07",1,1,1,1,1,1,NA,38,82,42,53,3.66356164612965,4.4188406077966,3.76120011569356,3.98898404656427,1,1,0,NA
"tran_601","COAST","COASTP07",1,1,1,1,1,1,NA,30,52,119,296,3.43398720448515,3.97029191355212,4.78749174278205,5.6937321388027,1,2,0,NA
"tran_673","COAST","COASTP08",1,1,1,1,1,1,NA,124,537,422,1979,4.8283137373023,6.28785856016178,6.04737217904628,7.59085212368858,1,15,1,130
"tran_671","COAST","COASTP08",1,1,1,1,1,1,NA,9,58,68,426,2.30258509299405,4.07753744390572,4.23410650459726,6.05678401322862,0,NA,1,10
"tran_667","COAST","COASTP08",1,1,1,1,1,1,NA,5,23,55,297,1.79175946922805,3.17805383034795,4.02535169073515,5.6970934865054,0,NA,1,18
"tran_669","COAST","COASTP08",1,1,1,1,1,1,NA,51,179,66,261,3.95124371858143,5.19295685089021,4.20469261939097,5.5683445037611,0,NA,1,6
"tran_668","COAST","COASTP08",1,1,1,1,1,1,NA,5,48,20,149,1.79175946922805,3.89182029811063,3.04452243772342,5.01063529409626,0,NA,0,NA
"tran_674","COAST","COASTP08",1,1,1,1,1,1,NA,8,89,128,532,2.19722457733622,4.49980967033027,4.85981240436167,6.27852142416584,0,NA,1,22
"tran_670","COAST","COASTP08",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_675","COAST","COASTP08",1,1,1,1,1,1,NA,17,74,34,244,2.89037175789616,4.31748811353631,3.55534806148941,5.50125821054473,0,NA,1,62
"tran_676","COAST","COASTP08",1,1,1,1,1,1,NA,33,319,222,643,3.52636052461616,5.76832099579377,5.40717177146012,6.46769872610435,1,7,1,95
"tran_672","COAST","COASTP08",1,1,1,1,1,1,NA,15,56,14,189,2.77258872223978,4.04305126783455,2.70805020110221,5.24702407216049,0,NA,0,NA
"tran_642","COAST","COASTP09",1,1,1,1,1,1,NA,17,356,217,1256,2.89037175789616,5.87773578177964,5.38449506278909,7.13648320859025,1,4,1,88
