SiteID,ID,Spp,PlotID,Region,Latitude,Longitude,Elevation,Class_10,NewPlot_10,PercFr_10,TotFr_10,TotFl_10,TotNFStLn_10,TotFlStLn_10,TotStLn_10,Class_11,NewPlot_11,PercFr_11,TotFr_11,TotFl_11,TotNFStLn_11,TotFlStLn_11,TotStLn_11,Class_12,NewPlot_12,PercFr_12,TotFr_12,TotFl_12,TotNFStLn_12,TotFlStLn_12,TotStLn_12,Surv1011,Surv1112
Buck Meadows,16412,C,108,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16413,C,108,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16414,C,108,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16415,C,100,C2,37.77722,-120.06331,830,A,F,0.173913043,4,23,70,276,346,A,F,0.328358209,49.5,150.75,NA,851.4,851.4,D,F,NA,NA,NA,NA,NA,NA,1,0
Buck Meadows,16416,C,101,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,28,NA,28,A,F,0.75,3,4,46,55,101,D,F,NA,NA,NA,NA,NA,NA,1,0
Buck Meadows,16417,C,101,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,48,NA,48,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16418,C,102,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,17,NA,17,J,F,NA,NA,NA,56,NA,56,D,F,NA,NA,NA,NA,NA,NA,1,0
Buck Meadows,16419,C,103,C2,37.77722,-120.06331,830,A,F,NA,NA,NA,NA,44,44,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16420,C,103,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16421,C,103,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16422,C,104,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,14,NA,14,J,F,NA,NA,NA,3,NA,3,D,F,NA,NA,NA,NA,NA,NA,1,0
Buck Meadows,16423,C,104,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,10,NA,10,A,F,0,0,4,NA,68,68,J,F,NA,NA,NA,38,NA,38,1,1
Buck Meadows,16424,C,104,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16426,C,106,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,92.4,NA,92.4,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16427,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16428,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16429,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16430,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16431,C,106,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16432,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,NA,NA,NA,J,F,NA,NA,NA,22,NA,22,D,F,NA,NA,NA,NA,NA,NA,1,0
Buck Meadows,16433,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,5,NA,5,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16434,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,5,NA,5,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16435,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,3,NA,3,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16436,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,0.5,NA,0.5,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16437,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,1,NA,1,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16438,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,12,NA,12,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16439,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16440,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16441,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,26,NA,26,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16442,C,109,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,11,NA,11,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16443,C,107,C2,37.77722,-120.06331,830,NA,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA
Buck Meadows,16445,C,107,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,37,NA,37,J,F,NA,NA,NA,58,NA,58,NA,F,NA,NA,NA,NA,NA,NA,1,NA
Buck Meadows,16446,C,107,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,13,NA,13,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16447,C,108,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,7,NA,7,D,F,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,0,NA
Buck Meadows,16448,C,100,C2,37.77722,-120.06331,830,J,F,NA,NA,NA,2,NA,2,D,F,NA,NA,NA,NA,NA,NA,D,F,NA,NA,NA,NA,NA,NA,0,NA
