ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,ROCK P15.2,ROCK,P15,cobble,0,5,10,75,10,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,360,54.5,180,56.68,0.9225,0.83,4,0.24,5.12,1.275,0.10,0.76,
1,1,ROCK P11.2,ROCK,P11,cobble,0,5,5,65,25,0,#NUM!,-1.E-01,-1.E-01,-3.E-01,-3.E-01,#NUM!,100,170,72,10,74.88,0.97,0.93,2,0.87,5.57,2.3925,0.16,1,
1,1,ROCK P08.2,ROCK,P08,cobble,0,20,5,65,10,0,#NUM!,-3.E-01,-1.E-01,-3.E-01,-2.E-01,#NUM!,100,250,53,70,55.12,0.82,0.98,2.5,0.27,2.82,1.08,0.32,0.41,
1,1,ROCK P12.2,ROCK,P12,cobble,0,5,5,70,20,0,#NUM!,-1.E-01,-1.E-01,-2.E-01,-3.E-01,#NUM!,100,180,61.5,0,63.96,0.9625,0.87,2.5,0.93,3.62,1.6275,0.27,1,
1,1,WILD ROCK.2,WILD,ROCK,gravel,5,30,35,15,15,0,-1.E-01,-4.E-01,-4.E-01,-3.E-01,-3.E-01,#NUM!,100,110,43,70,44.72,0.5375,1.45,3,0.51,8.57,4.505,0.18,2.5,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,10,30,55,5,0,#NUM!,-2.E-01,-4.E-01,-3.E-01,-1.E-01,#NUM!,100,100,1,80,1.04,0.7725,1.07,3,0.32,10.82,3.24,0.09,4,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,15,20,50,15,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-3.E-01,#NUM!,100,110,0,70,0,0.795,1.24,3.5,0.46,7.52,2.0625,0.04,1.17,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,15,35,50,0,0,#NUM!,-3.E-01,-4.E-01,-3.E-01,#NUM!,#NUM!,100,260,7,80,7.28,0.6975,1.00,3.5,0.31,6.37,2.9295,0.15,0.23,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,20,25,50,5,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-1.E-01,#NUM!,100,90,54,90,56.16,0.7125,1.16,4,0.27,5.75,2.1375,0.15,0.63,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,30,20,35,15,0,#NUM!,-4.E-01,-3.E-01,-4.E-01,-3.E-01,#NUM!,100,120,51,60,53.04,0.6675,1.34,2.5,0.44,9.95,4.8015,0.15,2.33,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,5,20,45,30,0,#NUM!,-1.E-01,-3.E-01,-4.E-01,-4.E-01,#NUM!,100,180,9,0,9.36,0.9025,1.19,4,0.20,4.60,0.46,0.04,1,
1,1,WILD ROCK.2,WILD,ROCK,cobble,0,15,20,50,15,0,#NUM!,-3.E-01,-3.E-01,-3.E-01,-3.E-01,#NUM!,100,270,20,90,20.8,0.795,1.24,2.5,0.13,3.47,1.173,0.26,0.21,
1,1,WILD ROCK.2,WILD,ROCK,cobble,5,20,15,45,15,0,-1.E-01,-3.E-01,-3.E-01,-4.E-01,-3.E-01,#NUM!,100,250,26,70,27.04,0.7225,1.40,2.5,0.30,3.53,1.615,0.32,0.41,
